resp,task01,task02,task03,task04,task05,task06
395,3.0,1.0,3.0,1.0,4.0,2.0
396,1.0,2.0,1.0,3.0,4.0,2.0
397,1.0,1.0,2.0,1.0,2.0,1.0
398,2.0,1.0,1.0,1.0,1.0,1.0
399,4.0,1.0,4.0,2.0,2.0,1.0
400,4.0,1.0,4.0,1.0,2.0,3.0
401,2.0,1.0,1.0,2.0,3.0,3.0
402,1.0,2.0,3.0,2.0,4.0,1.0
403,4.0,1.0,3.0,3.0,1.0,2.0
404,3.0,1.0,2.0,3.0,3.0,1.0
405,3.0,2.0,1.0,1.0,3.0,3.0
406,1.0,3.0,3.0,3.0,4.0,2.0
407,1.0,3.0,4.0,1.0,1.0,1.0
408,2.0,4.0,1.0,1.0,3.0,1.0
409,1.0,3.0,1.0,2.0,2.0,3.0
410,2.0,4.0,4.0,2.0,2.0,3.0
411,2.0,4.0,3.0,1.0,3.0,2.0
412,2.0,4.0,2.0,4.0,4.0,3.0
413,1.0,4.0,1.0,3.0,3.0,4.0
414,2.0,1.0,1.0,2.0,4.0,1.0
415,4.0,3.0,1.0,2.0,1.0,2.0
416,3.0,2.0,4.0,1.0,2.0,3.0
417,4.0,4.0,3.0,1.0,3.0,2.0
418,2.0,4.0,3.0,3.0,2.0,1.0
419,2.0,4.0,3.0,3.0,4.0,4.0
420,2.0,1.0,3.0,1.0,4.0,2.0
421,1.0,3.0,1.0,3.0,1.0,1.0
422,3.0,2.0,4.0,4.0,2.0,2.0
423,1.0,1.0,2.0,2.0,3.0,4.0
424,2.0,2.0,2.0,4.0,2.0,3.0
425,4.0,4.0,3.0,2.0,2.0,2.0
426,1.0,4.0,4.0,2.0,3.0,1.0
427,3.0,4.0,4.0,4.0,4.0,1.0
428,1.0,2.0,1.0,2.0,1.0,1.0
429,1.0,3.0,4.0,1.0,2.0,2.0
430,2.0,1.0,1.0,1.0,1.0,2.0
431,1.0,2.0,1.0,2.0,4.0,4.0
432,2.0,3.0,3.0,3.0,4.0,4.0
433,2.0,3.0,2.0,4.0,2.0,4.0
434,4.0,2.0,1.0,1.0,4.0,4.0
435,3.0,3.0,4.0,2.0,1.0,4.0
436,2.0,3.0,2.0,4.0,3.0,2.0
437,1.0,3.0,3.0,2.0,3.0,4.0
438,2.0,2.0,1.0,1.0,3.0,2.0
439,2.0,3.0,4.0,3.0,2.0,2.0
440,1.0,4.0,2.0,3.0,4.0,2.0
441,2.0,4.0,3.0,4.0,4.0,3.0
442,3.0,1.0,4.0,3.0,3.0,4.0
443,1.0,2.0,4.0,2.0,2.0,2.0
444,3.0,2.0,4.0,2.0,2.0,2.0
445,1.0,2.0,3.0,1.0,2.0,2.0
446,1.0,4.0,4.0,4.0,4.0,2.0
447,2.0,1.0,3.0,1.0,1.0,3.0
448,3.0,1.0,4.0,4.0,4.0,4.0
449,2.0,4.0,4.0,3.0,4.0,4.0
450,3.0,1.0,3.0,1.0,1.0,4.0
451,3.0,4.0,1.0,3.0,3.0,3.0
452,1.0,1.0,4.0,2.0,4.0,2.0
453,2.0,1.0,3.0,1.0,2.0,3.0
454,3.0,1.0,3.0,1.0,2.0,4.0
455,3.0,4.0,4.0,1.0,3.0,1.0
456,3.0,3.0,3.0,1.0,1.0,1.0
457,2.0,4.0,2.0,3.0,4.0,4.0
458,1.0,2.0,1.0,1.0,3.0,3.0
459,4.0,1.0,1.0,4.0,1.0,4.0
460,3.0,1.0,3.0,4.0,2.0,2.0
461,1.0,4.0,1.0,3.0,2.0,4.0
462,4.0,3.0,3.0,3.0,2.0,4.0
463,3.0,4.0,1.0,3.0,4.0,1.0
464,1.0,1.0,4.0,2.0,4.0,3.0
465,4.0,4.0,4.0,1.0,1.0,1.0
466,2.0,4.0,4.0,1.0,4.0,2.0
467,4.0,2.0,1.0,1.0,3.0,1.0
468,2.0,1.0,4.0,3.0,4.0,2.0
469,4.0,4.0,4.0,1.0,4.0,4.0
470,4.0,4.0,4.0,1.0,3.0,3.0
471,3.0,3.0,2.0,1.0,3.0,1.0
472,2.0,3.0,1.0,3.0,3.0,1.0
473,2.0,2.0,3.0,3.0,2.0,1.0
474,1.0,1.0,3.0,2.0,4.0,2.0
475,2.0,1.0,1.0,3.0,1.0,4.0
476,3.0,1.0,1.0,2.0,2.0,2.0
477,4.0,2.0,1.0,2.0,1.0,2.0
478,2.0,2.0,2.0,2.0,2.0,4.0
479,1.0,2.0,2.0,3.0,2.0,1.0
480,4.0,3.0,2.0,3.0,4.0,4.0
481,4.0,2.0,2.0,1.0,2.0,2.0
482,1.0,4.0,4.0,2.0,3.0,2.0
483,4.0,4.0,3.0,4.0,2.0,1.0
484,3.0,2.0,3.0,3.0,3.0,2.0
485,4.0,1.0,2.0,4.0,3.0,1.0
486,3.0,1.0,3.0,3.0,1.0,4.0
487,1.0,1.0,2.0,3.0,4.0,2.0
488,1.0,4.0,2.0,3.0,4.0,4.0
489,3.0,4.0,4.0,2.0,1.0,2.0
490,2.0,2.0,2.0,3.0,1.0,2.0
491,4.0,3.0,4.0,4.0,4.0,3.0
492,1.0,1.0,4.0,2.0,1.0,1.0
493,4.0,4.0,1.0,3.0,4.0,4.0
494,4.0,4.0,2.0,3.0,4.0,2.0
495,2.0,3.0,3.0,1.0,3.0,2.0
496,2.0,4.0,4.0,3.0,4.0,2.0
497,3.0,3.0,1.0,4.0,1.0,1.0
498,3.0,1.0,2.0,1.0,4.0,4.0
499,4.0,3.0,2.0,3.0,3.0,3.0
500,4.0,3.0,1.0,1.0,2.0,1.0
501,2.0,2.0,1.0,4.0,1.0,3.0
502,4.0,4.0,3.0,3.0,2.0,1.0
503,1.0,1.0,2.0,4.0,1.0,2.0
504,1.0,2.0,4.0,2.0,3.0,1.0
505,4.0,3.0,4.0,3.0,2.0,2.0
506,3.0,2.0,1.0,1.0,1.0,3.0
507,4.0,1.0,1.0,4.0,1.0,1.0
508,3.0,1.0,2.0,4.0,4.0,2.0
509,3.0,2.0,2.0,1.0,2.0,3.0
510,2.0,4.0,4.0,3.0,2.0,3.0
511,4.0,1.0,2.0,4.0,1.0,4.0
512,4.0,3.0,2.0,2.0,3.0,4.0
513,1.0,4.0,1.0,2.0,2.0,2.0
514,1.0,1.0,3.0,4.0,1.0,1.0
515,1.0,3.0,4.0,3.0,3.0,2.0
