resp,task01,task02,task03,task04,task05,task06,task07,task08,task09,task10
316,1.0,2.0,2.0,1.0,2.0,4.0,3.0,2.0,3.0,2.0
317,1.0,4.0,2.0,1.0,2.0,3.0,1.0,1.0,2.0,3.0
318,3.0,1.0,4.0,2.0,3.0,4.0,1.0,2.0,3.0,2.0
319,3.0,3.0,1.0,2.0,1.0,4.0,3.0,4.0,4.0,2.0
320,3.0,3.0,2.0,3.0,3.0,4.0,3.0,4.0,2.0,3.0
321,3.0,4.0,1.0,4.0,4.0,1.0,2.0,2.0,1.0,2.0
322,1.0,3.0,4.0,1.0,1.0,1.0,3.0,4.0,4.0,3.0
323,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0
324,2.0,3.0,3.0,3.0,2.0,3.0,1.0,1.0,1.0,4.0
325,4.0,3.0,1.0,4.0,4.0,1.0,4.0,3.0,1.0,3.0
326,2.0,2.0,2.0,3.0,4.0,3.0,3.0,4.0,4.0,4.0
327,3.0,2.0,3.0,4.0,3.0,1.0,4.0,2.0,2.0,2.0
328,2.0,1.0,1.0,4.0,1.0,1.0,1.0,2.0,4.0,1.0
329,3.0,3.0,4.0,4.0,1.0,3.0,3.0,3.0,1.0,1.0
